Mass:     base value      
250          6.405        
500          3.342        
750          2.174        
1000          1.228       
1250         0.9845       
1500         0.6417       
1750         0.5308       
2000         0.5289       
2500         0.5636       
3000         0.5641       
3500         0.5675       
4000          0.576       
4500          0.579       
5000         0.5835       
mu

Mass:     base value      
250          10.47        
500          7.723        
750          4.947        
1000          3.035       
1250          1.367       
1500         0.8157       
1750         0.8062       
2000         0.8139       
2500         0.8095       
3000         0.8053       
3500         0.8076       
4000         0.8242       
4500         0.8266       
5000         0.8303       
ele

